ID	Name	Latitude	Longitude	Address	Zipcode	Type	Website	drivingTime	walkingTime	transitTime	nomalized_crime_score	foodscore	gasscore	entertainmentscore	clusters
961	721 Longleaf Dr NE UNIT	33.855285	-84.36396	721 Longleaf Dr NE UNIT 9, Atlanta, GA	30342	Condo	http://www.zillow.com/homedetails/721-Longleaf-Dr-NE-UNIT-9-Atlanta-GA-30342/125466895_zpid/	990	8342	2854	97.07179737	88.46153846	7.692307692	74.22680412	0
962	734 Frederica St N	33.77454	-84.356	734 Frederica St NE, Atlanta, GA	30306	Apartment	http://www.zillow.com/homedetails/734-Frederica-St-NE-Atlanta-GA-30306/2099285778_zpid/	736	3440	2481	79.75282877	86.26373626	30.76923077	84.53608247	7
963	735 Dill Ave S	33.718611	-84.411883	735 Dill Ave SW, Atlanta, GA	30310	House	http://www.zillow.com/homedetails/735-Dill-Ave-SW-Atlanta-GA-30310/35830537_zpid/	802	5874	2752	93.91908161	48.9010989	7.692307692	17.5257732	1
964	737 Windsor St S	33.734818	-84.398573	737 Windsor St SW, Atlanta, GA	30303	House	http://www.zillow.com/homedetails/737-Windsor-St-SW-Atlanta-GA-30310/82611277_zpid/	678	4029	2703	90.75436386	81.86813187	11.53846154	88.65979381	0
965	740 Barnett St N	33.77476	-84.35896	740 Barnett St NE, Atlanta, GA	30306	Apartment	http://www.zillow.com/homedetails/740-Barnett-St-NE-Atlanta-GA-30306/2102893251_zpid/	716	3242	2314	90.59696506	85.71428571	38.46153846	87.11340206	3
966	742 Monroe Dr N	33.77481	-84.3714	742 Monroe Dr NE, Atlanta, GA	30303	Apartment	http://www.zillow.com/homedetails/742-Monroe-Dr-NE-Atlanta-GA-30308/2103494570_zpid/	595	2397	1726	92.86011471	87.36263736	23.07692308	83.50515464	0
967	745 Fountainhead Ln N	33.8212	-84.3603	745 Fountainhead Ln NE, Atlanta, GA	30324	Townhouse	http://www.zillow.com/homedetails/745-Fountainhead-Ln-NE-Atlanta-GA-30324/112433680_zpid/	722	5630	2521	94.2986509	85.16483516	76.92307692	88.1443299	8
968	745 Fountainhead Ln NE UNIT 2	33.8229	-84.36407	745 Fountainhead Ln NE UNIT 26, Atlanta, GA	30324	Apartment	http://www.zillow.com/homedetails/745-Fountainhead-Ln-NE-UNIT-26-Atlanta-GA-30324/124439019_zpid/	785	5689	1956	60.05060918	83.51648352	92.30769231	93.29896907	8
969	745 N Island Dr # 74	33.89161	-84.41072	745 N Island Dr # 745, Sandy Springs, GA	30327	Apartment	http://www.zillow.com/homedetails/745-N-Island-Dr-745-Sandy-Springs-GA-30327/2099996551_zpid/	1216	10761	6709	100	25.27472527	3.846153846	10.30927835	5
970	75 14th St NE UNIT 482	33.786133	-84.385316	75 14th St NE UNIT 4820, Atlanta, GA	30309	Condo	http://www.zillow.com/homedetails/75-14th-St-NE-UNIT-4820-Atlanta-GA-30309/35899412_zpid/	446	1587	1587	72.69097169	89.01098901	34.61538462	85.56701031	7
971	754 Argonne Ave NE #	33.77516	-84.37796	754 Argonne Ave NE # B, Atlanta, GA	30303	Apartment	http://www.zillow.com/homedetails/754-Argonne-Ave-NE-B-Atlanta-GA-30308/2105759772_zpid/	529	1667	1667	86.61381212	90.65934066	46.15384615	84.53608247	3
972	759 Myrtle St NE #	33.775334	-84.379644	759 Myrtle St NE # B, Atlanta, GA	30308	Townhouse	http://www.zillow.com/homedetails/759-Myrtle-St-NE-B-Atlanta-GA-30308/35880951_zpid/	483	1505	1505	79.96619941	90.65934066	42.30769231	84.53608247	7
973	764 Rochelle Dr SW #	33.734379	-84.433155	764 Rochelle Dr SW # A, Atlanta, GA	30310	Apartment	http://www.zillow.com/homedetails/764-Rochelle-Dr-SW-A-Atlanta-GA-30310/35842172_zpid/	885	6055	2913	92.83721018	79.67032967	3.846153846	30.41237113	6
974	764 Rochelle Dr S	33.73438	-84.43315	764 Rochelle Dr SW, Atlanta, GA	30310	House	http://www.zillow.com/homedetails/764-Rochelle-Dr-SW-Atlanta-GA-30310/2101048076_zpid/	885	6055	2913	92.84365254	79.67032967	3.846153846	30.41237113	6
975	765 Coleman St S	33.734064	-84.404029	765 Coleman St SW, Atlanta, GA	30310	House	http://www.zillow.com/homedetails/765-Coleman-St-SW-Atlanta-GA-30310/69346606_zpid/	778	4449	2580	77.19063554	79.67032967	15.38461538	45.87628866	4
976	765 N Parkwood Rd # 76	33.77795	-84.31329	765 N Parkwood Rd # 765, Decatur, GA	30030	Apartment	http://www.zillow.com/homedetails/765-N-Parkwood-Rd-765-Decatur-GA-30030/2099284092_zpid/	1187	6849	3773	100	84.06593407	11.53846154	60.82474227	4
977	767 N Parkwood R	33.77814	-84.31358	767 N Parkwood Rd, Decatur, GA	30030	House	http://www.zillow.com/homedetails/767-N-Parkwood-Rd-Decatur-GA-30030/2099241588_zpid/	1188	6856	3842	100	84.06593407	11.53846154	60.82474227	4
978	769 Penn Ave NE APT	33.77561	-84.3784	769 Penn Ave NE APT 2, Atlanta, GA	30303	Apartment	http://www.zillow.com/homedetails/769-Penn-Ave-NE-APT-2-Atlanta-GA-30308/2118372519_zpid/	504	1574	1574	87.99191884	90.65934066	46.15384615	84.53608247	3
979	770 E Confederate Ave S	33.727556	-84.361632	770 E Confederate Ave SE, Atlanta, GA	30303	House	http://www.zillow.com/homedetails/770-E-Confederate-Ave-SE-Atlanta-GA-30312/35869707_zpid/	792	6010	3122	94.10365093	83.51648352	11.53846154	48.45360825	4
980	772 Azalia St S	33.7339	-84.419	772 Azalia St SW, Atlanta, GA	30303	Townhouse	http://www.zillow.com/homedetails/772-Azalia-St-SW-Atlanta-GA-30310/2114977967_zpid/	782	4880	2305	94.56598798	81.31868132	15.38461538	34.53608247	6
981	780 Neal St N	33.76619	-84.412925	780 Neal St NW, Atlanta, GA	30303	House	http://www.zillow.com/homedetails/780-Neal-St-NW-Atlanta-GA-30318/82626836_zpid/	478	1984	1229	96.07132715	82.96703297	19.23076923	79.3814433	0
982	783 Casplan St S	33.707822	-84.413167	783 Casplan St SW, Atlanta, GA	30310	House	http://www.zillow.com/homedetails/783-Casplan-St-SW-Atlanta-GA-30310/35830215_zpid/	955	7041	3302	93.67515275	75.27472527	7.692307692	17.5257732	2
983	784 Marcus St S	33.751076	-84.361112	784 Marcus St SE, Atlanta, GA	30303	House	http://www.zillow.com/homedetails/784-Marcus-St-SE-Atlanta-GA-30316/69366158_zpid/	758	4600	3212	94.24112803	92.30769231	30.76923077	91.75257732	3
984	787 Tanner D	33.800797	-84.25851	787 Tanner Dr, Scottdale, GA	30079	House	http://www.zillow.com/homedetails/787-Tanner-Dr-Scottdale-GA-30079/14524166_zpid/	1511	11445	4171	99.76202695	91.75824176	11.53846154	99.48453608	0
985	789 Barnett St N	33.776147	-84.358385	789 Barnett St NE, Atlanta, GA	30306	House	http://www.zillow.com/homedetails/789-Barnett-St-NE-Atlanta-GA-30306/35850732_zpid/	728	3367	2298	96.93771688	85.16483516	34.61538462	85.05154639	3
986	78 Sheridan Dr NE APT	33.83253	-84.38147	78 Sheridan Dr NE APT 6, Atlanta, GA	30305	Apartment	http://www.zillow.com/homedetails/78-Sheridan-Dr-NE-APT-6-Atlanta-GA-30305/2099285980_zpid/	1062	5885	3270	96.39765216	89.56043956	11.53846154	87.62886598	0
987	790 Clifton Heights Ln NE # 79	33.7994	-84.32335	790 Clifton Heights Ln NE # 790, Atlanta, GA	30329	Apartment	http://www.zillow.com/homedetails/790-Clifton-Heights-Ln-NE-790-Atlanta-GA-30329/2124667302_zpid/	1218	6989	3264	99.68242075	74.72527473	19.23076923	44.32989691	4
988	790 Market Place C	33.80027	-84.235801	790 Market Place Ct, Clarkston, GA	30021	House	http://www.zillow.com/homedetails/790-Market-Place-Ct-Clarkston-GA-30021/70836902_zpid/	1630	13277	5263	100	86.26373626	23.07692308	98.45360825	0
989	791 Wylie St SE APT 70	33.752142	-84.360036	791 Wylie St SE APT 705, Atlanta, GA	30316	Condo	http://www.zillow.com/homedetails/791-Wylie-St-SE-APT-705-Atlanta-GA-30316/69373431_zpid/	730	4614	3308	97.52692394	91.75824176	34.61538462	92.78350515	3
990	792 Marstevan Dr NE #	33.79463	-84.36132	792 Marstevan Dr NE # C, Atlanta, GA	30306	Condo	http://www.zillow.com/homedetails/792-Marstevan-Dr-NE-C-Atlanta-GA-30306/2104743107_zpid/	842	4034	2653	99.70437921	86.26373626	26.92307692	80.41237113	3
991	794 Ralph Mcgill Blvd NE UNIT	33.767401	-84.36183	794 Ralph Mcgill Blvd NE UNIT 1, Atlanta, GA	30303	Condo	http://www.zillow.com/homedetails/794-Ralph-Mcgill-Blvd-NE-UNIT-1-Atlanta-GA-30312/69377625_zpid/	595	3556	2531	88.89310903	89.01098901	46.15384615	87.11340206	3
992	800 Greenwood Ave NE APT	33.77694	-84.36119	800 Greenwood Ave NE APT 4, Atlanta, GA	30303	Apartment	http://www.zillow.com/homedetails/800-Greenwood-Ave-NE-APT-4-Atlanta-GA-30306/2100063273_zpid/	726	3198	2320	96.18420864	85.71428571	34.61538462	84.53608247	3
993	805 Peachtree St NE UNIT 22	33.776456	-84.383909	805 Peachtree St NE UNIT 220, Atlanta, GA	30303	Condo	http://www.zillow.com/homedetails/805-Peachtree-St-NE-UNIT-220-Atlanta-GA-30308/82611346_zpid/	425	1221	1221	73.24673031	90.65934066	30.76923077	83.50515464	7
994	810 Windsor St S	33.732564	-84.397777	810 Windsor St SW, Atlanta, GA	30303	House	http://www.zillow.com/homedetails/810-Windsor-St-SW-Atlanta-GA-30315/69346250_zpid/	708	4293	2750	96.83817015	78.02197802	11.53846154	68.55670103	4
995	819 Forrest Cir S	33.672092	-84.358096	819 Forrest Cir SE, Atlanta, GA	30354	House	http://www.zillow.com/homedetails/819-Forrest-Cir-SE-Atlanta-GA-30354/35875014_zpid/	1341	10626	5024	95.69629327	14.28571429	3.846153846	10.30927835	5
996	822 Pinetree Dr # 82	33.7747	-84.3108	822 Pinetree Dr # 822, Decatur, GA	30030	Condo	http://www.zillow.com/homedetails/822-Pinetree-Dr-822-Decatur-GA-30030/2104389206_zpid/	1163	6788	3682	100	81.86813187	7.692307692	54.12371134	4
997	822 Pinetree D	33.774704	-84.310774	822 Pinetree Dr, Decatur, GA	30030	House	http://www.zillow.com/homedetails/822-Pinetree-Dr-Decatur-GA-30030/14480189_zpid/	1163	6789	3683	100	81.86813187	7.692307692	54.12371134	4
998	832 Canterbury Overloo	33.829269	-84.35914	832 Canterbury Overlook, Atlanta, GA	30324	Townhouse	http://www.zillow.com/homedetails/832-Canterbury-Overlook-Atlanta-GA-30324/2099148077_zpid/	835	6728	2908	100	83.51648352	69.23076923	91.2371134	8
999	833 Belfast St S	33.713694	-84.415911	833 Belfast St SW, Atlanta, GA	30310	House	http://www.zillow.com/homedetails/833-Belfast-St-SW-Atlanta-GA-30310/35829894_zpid/	940	6424	2675	97.56988107	69.23076923	11.53846154	22.16494845	2
1000	834 Clemont Dr N	33.783312	-84.360187	834 Clemont Dr NE, Atlanta, GA	30306	House	http://www.zillow.com/homedetails/834-Clemont-Dr-NE-Atlanta-GA-30306/35930993_zpid/	713	3109	2041	98.16490027	87.36263736	34.61538462	82.98969072	3
1001	836 Dill Ave S	33.718017	-84.415351	836 Dill Ave SW, Atlanta, GA	30310	House	http://www.zillow.com/homedetails/836-Dill-Ave-SW-Atlanta-GA-30310/35830612_zpid/	851	6047	2565	96.64763603	53.84615385	7.692307692	22.16494845	1
1002	839 Blossom St S	33.711882	-84.416116	839 Blossom St SW, Atlanta, GA	30310	House	http://www.zillow.com/homedetails/839-Blossom-St-SW-Atlanta-GA-30310/35829925_zpid/	916	6550	2801	99.08780051	76.92307692	11.53846154	22.16494845	6
1003	854 Harold Ave S	33.749608	-84.359337	854 Harold Ave SE, Atlanta, GA	30316	House	http://www.zillow.com/homedetails/854-Harold-Ave-SE-Atlanta-GA-30316/65441058_zpid/	722	4843	3216	97.50031723	92.30769231	34.61538462	92.78350515	3
1004	856 Windsor St SW # 2	33.73151	-84.39725	856 Windsor St SW # 2B, Atlanta, GA	30303	Condo	http://www.zillow.com/homedetails/856-Windsor-St-SW-2B-Atlanta-GA-30315/2104531384_zpid/	737	4561	2897	97.5391727	77.47252747	7.692307692	51.03092784	4
1005	862 Custer S	33.66165	-84.41753	862 Custer St, Hapeville, GA	30354	House	http://www.zillow.com/homedetails/862-Custer-St-Hapeville-GA-30354/2100274423_zpid/	924	10735	3045	100	79.12087912	19.23076923	95.87628866	0
1006	865 Monroe Cir NE #	33.77826	-84.368	865 Monroe Cir NE # 0, Atlanta, GA	30303	Condo	http://www.zillow.com/homedetails/865-Monroe-Cir-NE-0-Atlanta-GA-30308/2123447249_zpid/	635	2478	1755	91.82673092	86.26373626	11.53846154	85.56701031	0
1007	865 Monroe Cir N	33.778254	-84.367994	865 Monroe Cir NE, Atlanta, GA	30303	House	http://www.zillow.com/homedetails/865-Monroe-Cir-NE-Atlanta-GA-30308/35879955_zpid/	635	2478	1755	91.81289381	86.26373626	11.53846154	85.56701031	0
1008	869 Saint Charles Ave NE APT	33.77514	-84.35889	869 Saint Charles Ave NE APT 3, Atlanta, GA	30306	Apartment	http://www.zillow.com/homedetails/869-Saint-Charles-Ave-NE-APT-3-Atlanta-GA-30306/2108369179_zpid/	714	3304	2298	90.15082463	85.71428571	38.46153846	87.11340206	3
1009	873 Plymouth Rd N	33.798677	-84.358573	873 Plymouth Rd NE, Atlanta, GA	30306	House	http://www.zillow.com/homedetails/873-Plymouth-Rd-NE-Atlanta-GA-30306/35925531_zpid/	792	4074	2601	100	86.26373626	30.76923077	81.44329897	3
1010	875 Creekdale D	33.803441	-84.251272	875 Creekdale Dr, Clarkston, GA	30021	Apartment	http://www.zillow.com/homedetails/875-Creekdale-Dr-Clarkston-GA-30021/14524292_zpid/	1428	11899	4105	96.3147	90.10989011	11.53846154	99.48453608	0
1011	885 Briarcliff Rd NE APT 4	33.77842	-84.34547	885 Briarcliff Rd NE APT 45, Atlanta, GA	30306	Townhouse	http://www.zillow.com/homedetails/885-Briarcliff-Rd-NE-APT-45-Atlanta-GA-30306/2099137174_zpid/	938	4294	2758	92.57152375	84.06593407	19.23076923	86.59793814	0
